!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",wo
case 066,3264b807-2585-428b-93e0-4ef213b50b3b,3,0,5,20 to 50 books in a year,26 - 29 anos,Feminino,Paraíba,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,4,5,5,5,4,4,4,5,"O aplicativo em si é bom , porém ainda faltam mais ferramentas. Achei um pouco simplório, mas a ideia é muito boa."
case 142,5b8b009d-a02b-43c4-a78f-018de7ababb9,3,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,Espírito Santo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,4,3,5,5,4,3,5,5,
case 161,68a11b82-5d4b-46d7-a442-209f6391d20f,3,0,1,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,2,5,5,5,4,2,5,5,Por te sido bem rápida minha experiência  com APP mesmo assim vale a pena um aplicativo  que te indique livro da sua preferência  de leitura
case 242,9a2a9856-f925-4e89-9f51-7568c73ebdcb,3,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,4,5,5,4,5,5,5,
case 247,9d230923-2ff2-4f1e-889c-a08eb07995d5,3,0,4,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio incompleto,Casado(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,3,4,5,5,5,5,3,5,5,
case 293,ba7941b4-8552-4098-9b24-27a7a248f729,3,0,5,20 to 50 books in a year,22 - 25 anos,Feminino,Ceará,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,4,5,5,5,5,4,5,5,
case 365,ea59a4bf-4307-48a5-ae27-5f60e79e034e,3,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,Prefiro não declarar,5,5,5,5,4,5,4,5,4,4,4,5,
case 074,361f0d48-7935-40df-aa53-3a83658269ab,3,0,4,50 to 100 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,5,4,5,4,4,5,5,5,4,4,4,
case 347,df76c612-7367-4ac3-87c4-620c50401425,3,0,3,6 to 20 books in a year,30 - 33 anos,Feminino,Paraná,Ensino médio completo,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,5,4,5,4,5,5,5,5,
case 094,3f517550-5b44-4f0c-8aaf-019f126b4b19,3,0,4,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Prefiro não declarar,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,5,5,4,5,5,5,5,5,
case 276,afefe1d7-1968-410d-a1b0-c3b5938555c9,3,0,2,6 to 20 books in a year,30 - 33 anos,Feminino,Santa Catarina,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,4,4,5,5,5,5,5,5,
case 010,06f50dc4-9688-402e-95a1-2168c87d4a48,4,0,1,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,3,5,4,2,2,5,5,5,5,4,4,
case 019,0f84f9a6-423f-45d0-b5de-1949894b6544,4,0,4,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 5.449,00 a R$ 10.427,00",5,5,5,3,4,3,3,5,5,5,4,5,A aba recomendações poderia aparecer quando vc abre um livro que leu. Aí com base naquele livro já teria uma recomendação para a próxima leitura.
case 087,3b9719b9-bd0a-4ee5-87b3-7abd42555d7f,4,0,3,20 to 50 books in a year,18 - 21 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,3,4,5,2,5,5,4,5,5,4,
case 082,3a294493-2caf-4248-aaf9-7783766f7560,4,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",3,4,2,3,2,3,1,2,2,2,2,2,
case 277,b1972e9e-b9b8-43dd-a20b-a10467a1059a,4,0,1,50 to 100 books in a year,34 - 37 anos,Feminino,Amazonas,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,2,2,2,2,2,2,2,2,2,2,2,"O aplicativo é bem bacana, algumas recomendações já li, e outras vou ler."
case 379,f61ff3c1-3069-4a2b-95fc-1bac8862df8b,4,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,3,5,5,5,5,5,5,5,"Livros que são muito bons e que não tem o hype que merecem,acredito que deveriam ter uma maior atenção afim de ajudar que conhecermos mais livros."
case 395,ffa1dac2-90df-4514-97fa-ae7f8f0b03fc,4,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Alagoas,Ensino médio completo,Solteiro(a),Indígena,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,5,4,5,4,4,5,5,
case 114,4c2b208b-c508-4395-9456-90e80ec591e7,4,0,2,6 to 20 books in a year,18 - 21 anos,Masculino,Pernambuco,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,5,3,4,3,3,4,4,3,4,
case 226,8f6ce587-32b4-4be6-bc43-0d5ef47bd860,4,0,3,6 to 20 books in a year,26 - 29 anos,Feminino,Goiás,Superior completo,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,3,3,2,2,3,2,3,3,3,3,3,
case 040,2062a9ba-faf5-4460-9963-2b5becc9edb6,4,0,3,6 to 20 books in a year,34 - 37 anos,Feminino,São Paulo,Pós-graduação completa,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,4,5,4,5,5,5,5,5,5,
case 164,6a586d78-2edc-43ea-b2a3-6757d957eb95,4,0,2,6 to 20 books in a year,30 - 33 anos,Feminino,Santa Catarina,Ensino médio completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 017,0b8e1702-16c7-487d-9874-4aeb18889efd,4,0,4,More than 100 books in a year,18 - 21 anos,Feminino,Rio Grande do Norte,Ensino médio incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,5,4,5,5,4,5,5,5,
case 178,717adf74-74e7-4101-a922-f1e37df47180,5,0,3,1 to 5 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",1,1,3,2,2,2,2,3,3,3,2,2,
case 150,61a8ed4a-9a89-4abb-a4b0-25f1fa83bf65,5,0,3,1 to 5 books in a year,22 - 25 anos,Masculino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,4,4,3,4,4,1,4,1,1,3,3,Olha eu coloquei que não gostava de terror e apareceu livros que se encaixava nisso 
case 307,c06d8b7a-ff43-4f50-8c83-526a86a2a341,5,0,3,1 to 5 books in a year,18 - 21 anos,Feminino,Maranhão,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,4,3,5,4,5,5,4,5,
case 139,5af633a0-84d4-48ef-a6dd-a40dfaaa8d99,5,0,3,1 to 5 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,4,5,4,4,5,4,5,5,5,5,5,5,
case 256,a25eff79-36c2-43b1-b51a-94e62e94858d,5,0,3,1 to 5 books in a year,22 - 25 anos,Feminino,Pará,Superior completo,Solteiro(a),Branca,"Até R$ 813,00",,5,5,5,4,4,5,5,5,5,5,4,
case 330,d22edd03-b664-4768-9241-57d0dc12d47f,5,0,4,1 to 5 books in a year,22 - 25 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,3,5,4,5,5,5,5,5,
case 089,3c43896f-d544-423e-9482-ea4cfeb93649,5,0,3,20 to 50 books in a year,18 - 21 anos,Feminino,Sergipe,Ensino médio completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",1,2,4,4,2,2,2,2,5,5,4,4,Achei o design do app não muito bom
case 185,76057a5e-c557-4a81-b28a-f17295261b84,5,0,3,20 to 50 books in a year,26 - 29 anos,Feminino,Bahia,Pós-graduação completa,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,4,4,4,4,4,2,2,2,2,3,4,
case 285,b7229426-3a57-4caa-8b43-ce637fb74a39,5,0,3,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",1,4,1,3,1,3,1,2,3,1,3,3,
case 033,1dc9a869-e027-4f57-a43f-437f928249a0,5,0,2,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,4,3,4,1,3,1,1,3,4,4,3,4,"Eu vi muitos títulos de livros que já conheço, por isso as recomendações não foram uma novidade para mim"
case 315,c6cadd64-51cb-4e8d-9c57-ec75994aa053,5,0,1,20 to 50 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,3,2,4,4,3,4,4,4,5,"Selecionei a categoria Romance, e achei as opções dadas muito repetidas do mesmo autor, sem uma diversidade. "
case 086,3b63d130-83fb-449f-b691-44a4396aecb8,5,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,4,4,4,5,4,4,4,4,4,5,
case 199,7cdcc033-e471-4162-a482-8a6e3b65b808,5,0,3,20 to 50 books in a year,30 - 33 anos,Feminino,Paraná,Superior incompleto,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,3,4,4,4,4,4,4,4,3,3,
case 295,bc3b83cb-26c9-40e5-b997-d75e7c0b5c87,5,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,4,3,4,4,4,4,4,5,"Gostei do aplicativo, acredito que poderia dar mais indicações e ter tipo um ""botão"" surpreenda que poderia sugerir títulos fora da sua zona de conforto da leitura, para que você possa explorar novos títulos que seriam diferentes"
case 057,2dd2c91a-71b3-48fc-b76d-c8f5e38575c4,5,0,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Amarela,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,4,5,5,5,5,5,4,
case 115,4c8298a4-acd7-4ec5-8581-31a11263aa63,5,0,1,20 to 50 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,4,4,5,5,5,5,5,5,5,
case 125,52ee6e27-5527-40aa-8ab4-3cecb83e8777,5,0,5,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,4,5,5,4,4,5,5,5,5,4,5,
case 181,72e0160f-db38-45a9-8c9b-1225b103b8a4,5,0,3,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,5,5,4,4,5,4,4,5,5,
case 197,7c4def21-5e18-4af6-a5c6-dec3893e1a46,5,0,4,20 to 50 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,5,4,5,5,5,5,5,5,4,
case 232,955bacbe-d760-4f04-a787-f6d290b1b02c,5,0,1,20 to 50 books in a year,22 - 25 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,4,4,5,5,
