!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",wo
case 111,49bd3227-c2f4-406f-a623-33d5bdd1fcdc,5,0,4,6 to 20 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,2,2,1,5,2,2,4,4,4,5,
case 187,77b8526f-6b59-4f34-9da3-a04ae8e869af,5,0,4,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 5.449,00 a R$ 10.427,00",4,5,5,4,2,5,4,2,3,5,3,4,
case 172,6e16ad48-0651-4503-a89e-a3268871a936,5,0,4,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Separado (a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,3,4,4,4,3,3,4,4,4,4,
case 231,93ed85c4-8070-4652-922d-bfd90f1d1bcb,5,0,4,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,2,3,3,4,4,4,5,4,4,
case 234,96075967-7aad-4c59-a12d-c6bd21b9cb96,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Maranhão,Ensino médio completo,Casado(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,4,2,4,4,2,4,4,4,4,4,
case 248,9dd33f9c-300d-4c59-8a8a-d19635057cb2,5,0,3,6 to 20 books in a year,26 - 29 anos,Feminino,Sergipe,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,5,5,4,3,3,4,4,4,3,3,
case 327,d09e6f81-c854-4b60-b8e9-f198ed55a4f8,5,0,4,6 to 20 books in a year,22 - 25 anos,Feminino,Espírito Santo,Pós-graduação incompleta,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,3,5,5,5,4,5,4,5,5,5,5,Deveria ter mais opções para escolha dos favoritos 
case 342,dd5fbe66-560e-41e6-bb06-48910aa0b79b,5,0,3,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,3,4,4,5,5,5,5,"Doi livros recomemdados pra mim eu já tinha lido e gostado muito deles , e os outros recomendados me deram muito vontade de ler "
case 394,fe4f58f2-cad7-4605-9d40-26b338816a5a,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",3,4,4,4,3,4,5,4,4,4,5,5,
case 045,250170be-2377-447c-a38f-5e2bac53010a,5,0,5,6 to 20 books in a year,34 - 37 anos,Feminino,Pernambuco,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,4,5,3,4,5,5,5,4,4,
case 049,29400ae3-78db-4d45-978d-0962eb745ae5,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,5,5,5,5,5,5,5,5,
case 146,5f0c8f9f-4e5a-437a-b726-625ce8f462e7,5,0,1,6 to 20 books in a year,30 - 33 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,5,5,4,5,5,5,5,5,5,
case 168,6b00a428-cbc4-4619-8408-84db40150e11,5,0,1,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Parda,Prefiro não declarar,5,5,5,5,5,3,5,5,5,5,5,5,
case 201,7e1ae931-ee85-46fa-b7a1-de61aeda3e29,5,0,3,6 to 20 books in a year,18 - 21 anos,Feminino,Sergipe,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,4,5,5,5,5,5,5,5,
case 243,9a4f3a6d-6d4f-4772-ad85-7f0ca136bc92,5,0,2,6 to 20 books in a year,30 - 33 anos,Feminino,Minas Gerais,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,4,5,4,5,4,4,5,5,
case 312,c461be36-6f16-4f1e-9855-dd5ac87a5c1b,5,0,2,6 to 20 books in a year,22 - 25 anos,Feminino,Sergipe,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,5,4,5,5,4,4,4,5,5,5,4,5,
case 272,adbce7e0-2151-4691-9f50-0767dd621458,5,0,3,More than 100 books in a year,30 - 33 anos,Feminino,Rio Grande do Norte,Pós-graduação completa,Solteiro(a),Branca,"Acima de R$ 10.427,00",4,4,3,2,4,3,4,4,5,5,3,2,"Não sei se eu não compreendi corretamente ou faltou clareza na orientação da pesquisa, mas acabei favoritando livros que eu conheço, pois já li. O questionário dá a entender que o processo de favoritar deve ser feito pela recomendação enquanto uma indicação de possível leitura futura. Achei interessante escolhermos o gênero literário, contudo acho que poderia ter mais opções, inclusive diversificando os autores. Precisei sair e entrar no app para encontrar meus 5 favoritos. Acredito que se houver mais informações, como por exemplo notas de avaliações de outras redes sociais com goodreads ou skoob, talvez desse ao usuário uma parâmetro melhor de escolha. De forma geral, achei o aplicativo intuitivo e de fácil utilização."
case 346,df198b4d-08b1-429c-8e71-419022c798ae,7,0,2,20 to 50 books in a year,34 - 37 anos,Feminino,Santa Catarina,Pós-graduação completa,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,4,5,5,5,3,5,5,
case 037,1fcea3c9-c40d-4ddf-a81d-32923d67d167,1,1,4,20 to 50 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,4,5,4,4,2,2,2,2,2,3,
case 170,6cfd5d64-9a1e-419f-9c37-41b52f2a1976,1,1,3,50 to 100 books in a year,34 - 37 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,5,5,4,4,4,4,
case 059,2f865547-cbb6-42ee-97f5-38efe63a0df1,1,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Bahia,Superior completo,Casado(a),Prefiro não declarar,Prefiro não declarar,5,5,5,4,4,5,5,5,5,5,5,5,
case 274,afce178c-bd03-44be-b0c8-9206b008dedd,2,1,4,1 to 5 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Amarela,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,5,5,5,5,Satisfatória 
case 119,4f11e659-8957-4872-97d0-f336603a67fd,2,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",1,1,1,1,1,1,1,1,1,1,1,1,
case 325,cfdc1c27-4a1f-4c81-b199-a708cbb186f9,2,1,2,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,Prefiro não declarar,4,4,5,3,4,5,5,4,4,4,4,3,
case 389,fc28e0b5-69ad-483b-b898-3edf058b0503,2,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,3,3,4,4,4,4,4,4,
case 361,e56ae607-286f-4ac1-90c4-20407e509256,3,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Tocantins,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,4,4,1,5,1,2,2,2,2,2,3,"Nas opções de fantasia deveriam ter mais titulos como Acotar, fiquei chateada que o único que realmente tenho interesse é Corte de Chamas Pratedas da Sarah. Também senti falta de titulos do genero "" Romance Histórico "" estilo Bridgerton e outros. Contudo, sei quê esse é um dos objetivos dos formulários, avaliar e ajudar no desenvolvimento do App, para uma melhoria. Por isso decidi comentar e avaliar de forma sincera."
case 068,32e91adc-f133-4bd3-9a30-b0f0fc0e3b7d,3,1,4,20 to 50 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,3,2,3,4,3,5,5,4,5,A maioria das recomendações eu já tinha lido 
case 241,9998319d-f4a7-458c-9ac6-9030027892d8,3,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Superior incompleto,Solteiro(a),Preta,"Acima de R$ 10.427,00",4,4,5,2,4,1,4,5,4,4,2,4,
case 013,08c31f29-9c81-4ad6-9804-dcedc02db30a,3,1,5,50 to 100 books in a year,18 - 21 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,4,5,5,5,5,4,5,5,
case 305,c04b8fec-53ab-41b5-9682-6c332d7795bf,3,1,2,50 to 100 books in a year,18 - 21 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,5,4,5,5,4,5,4,5,5,3,4,5,
case 345,de2426e5-44ea-4a37-8a10-6b4de048c9a5,3,1,4,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",3,5,4,4,3,4,5,4,4,4,3,5,
case 035,1e48c718-b078-403e-ace9-e79865c4619b,4,1,4,1 to 5 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,4,3,4,2,3,2,2,3,4,3,4,
case 163,69947342-9d1f-4225-83e8-38eef0d3c16f,4,1,3,1 to 5 books in a year,34 - 37 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,5,4,4,5,4,5,5,4,5,
case 043,23803e8a-1411-49e5-8a34-b7f41850bbd1,4,1,1,1 to 5 books in a year,22 - 25 anos,Feminino,Pará,Superior completo,Solteiro(a),Parda,"Até R$ 813,00",5,5,5,5,4,5,,5,5,5,5,5,
case 334,d5113610-ef1e-4e7f-b606-b1e06aae01b6,4,1,4,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,4,4,5,4,3,5,4,4,4,4,5,
case 386,fab814b0-e223-4a92-a020-c97d156051d4,4,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,5,5,4,4,5,4,5,4,4,
case 227,8fa89fc1-4cc1-4871-89dd-fd1795dc11ef,4,1,3,50 to 100 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Preta,"De R$ 5.449,00 a R$ 10.427,00",4,5,5,4,3,5,5,3,4,5,5,5,Deveria ter o gênero hot
case 371,efee1ad5-02f0-46f6-acd4-0cde9bbf85a1,4,1,1,50 to 100 books in a year,34 - 37 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 110,493bd458-1114-4128-8368-f013a7c4f7cd,4,1,3,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",5,4,4,5,3,4,5,5,5,5,5,5,
case 313,c464c0e7-fc43-4317-a966-effe0ff71cf9,4,1,3,6 to 20 books in a year,18 - 21 anos,Masculino,Rio de Janeiro,Ensino médio incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,4,4,5,5,5,4,5,5,4,"As recomendações foram muito boas, descobri novos livros.Gostei mt do app. "
case 048,28fa5f43-2832-49dc-936a-f1314d304e25,4,1,5,More than 100 books in a year,22 - 25 anos,Feminino,Bahia,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,4,2,3,1,4,3,4,4,4,2,
case 369,ed6cf0dc-8df4-427c-832c-fb5a1a990ad0,4,1,3,More than 100 books in a year,30 - 33 anos,Feminino,Paraná,Pós-graduação completa,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,2,4,4,4,5,5,4,4,"o aplicativo poderia mostrar uma  imagem do livro melhor, pois pelo nome sempre tem outro parecido. Mas no geral se o objetivo for apenas recomendar livros por gêneros, isso foi alcançado"
case 288,b7abac7a-100a-4ae3-816c-582bc108890f,5,1,5,1 to 5 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Prefiro não declarar,"De R$ 813,00 a R$ 1.805,00",2,2,1,1,1,4,2,2,3,4,3,4,Faltou variedade e mais opções. Poderia classificar as indicações pelos estilos literarios. E ter mais perguntas como que tipo de romance voce curte e colocar livros mais adultos tbm
case 175,6f061f7b-556d-4ef0-be44-4798e96a8d12,5,1,3,1 to 5 books in a year,30 - 33 anos,Feminino,Paraná,Ensino médio completo,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,4,3,3,4,3,3,3,4,3,
case 024,14d0b055-820f-4cdc-974e-98a3b4da8043,5,1,3,1 to 5 books in a year,22 - 25 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,4,5,4,5,4,4,4,5,4,4,
case 144,5d429624-c55d-48f0-a6c3-9213fdce0a67,5,1,4,1 to 5 books in a year,30 - 33 anos,Feminino,Pernambuco,Pós-graduação completa,Casado(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",3,5,4,5,,,,4,2,3,4,5,Acredito que vocês precisam melhorar a definição de gêneros pois não coloquei nada sobre gostar de suspense ou terror e apareceram alguns livros desses gêneros. Acho também que precisam aumentar a quantidade de livros indicados...
case 005,03459acc-20bb-4daa-bc5e-a3869bc18a61,5,1,3,1 to 5 books in a year,38 - 40 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,4,4,5,5,5,5,5,5,5,O app fácil de utilizar e as recomendações super pertinentes aos gêneros selecionados.
case 207,8108d0cd-e66d-411d-8c1d-1ebb8b96c57f,5,1,2,1 to 5 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,1,5,5,5,5,5,5,
case 202,7e3f3c63-8122-4abb-9be9-fbd67abb61f4,5,1,2,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",2,4,4,4,1,1,2,1,1,1,1,4,
case 096,4047f61c-572a-48c0-9cec-ad931ac4a962,5,1,1,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,3,3,3,3,3,3,5,4,3,4,
case 252,9f03ba4b-c1dd-4447-a043-5d59d56849b5,5,1,4,20 to 50 books in a year,30 - 33 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Amarela,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,4,3,3,3,5,4,5,5,
case 308,c2c1c2fc-0622-4218-981e-789ab598b503,5,1,4,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Superior incompleto,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,1,2,1,1,3,3,3,2,3,3,3,Poderia ser inserido livros clássicos e também de novos autores que precisam de espaço para divulgar seus livros. Seria interessante se todos os livros que chegarem forem gratuitos e disponibilizarem uma experiência boa de leitura através do celular.
case 034,1e106d7a-13b9-4d93-b982-38d4d57d699f,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,4,5,5,4,4,4,4,4,5,
case 056,2d75b196-c97d-42d6-bd5d-d9ccaf7e4212,5,1,5,20 to 50 books in a year,26 - 29 anos,Feminino,Bahia,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,4,3,1,1,4,4,4,5,5,5,"Poderia expandir para cada gênero mais livros tive que escolher dois que não queria pois não tinha opção de outros. Fiquei limitada na escolha. Boa sorte, ansiosa para que tudo de certo."
case 155,64cab367-ce59-4ecd-924c-f67110c99a90,5,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Pós-graduação incompleta,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,4,2,3,4,3,4,4,4,4,4,
case 192,7982f472-afa5-40b1-96c1-ee947f3fd5d1,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,2,4,2,2,1,2,4,4,4,2,4,"No geral, o aplicativo é muito bom, entretanto as recomendações são muito óbvias e normalmente já muito conhecida, o que peca um pouco na questão de conhecer novos títulos e autores. Sei que o aplicativo ainda está sendo desenvolvido, mas queria ressaltar a quantidade baixa de livros recomendados. No mais, eu amei!"
case 212,8340ea64-f187-4bad-8401-6e2131d541c0,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Pernambuco,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,4,2,5,2,5,4,4,3,4,5,
case 228,8fe664f5-f9e7-4aca-a69a-7bb3cd04d086,5,1,4,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,4,4,5,4,4,4,5,5,5,5,
case 278,b24d837c-019d-4bdc-a36e-56172701d0bd,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,4,5,3,1,4,5,5,4,5,5,4,4,
case 286,b738bd78-3348-48df-a835-f262219c6bbc,5,1,3,20 to 50 books in a year,26 - 29 anos,Feminino,Amazonas,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,4,4,3,5,4,4,5,5,4,5,
case 343,ddaa8e17-22c9-4455-945a-09bf7bf9e3e2,5,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,4,4,4,2,4,4,5,5,5,
case 349,e092a107-cab4-493c-896f-43be741fe3ec,5,1,3,20 to 50 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,2,4,4,3,2,5,4,5,5,4,5,
case 360,e4ebcb5a-568c-447d-9ff3-5f144e569f2d,5,1,5,20 to 50 books in a year,18 - 21 anos,Feminino,Rio Grande do Norte,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",4,3,5,3,3,5,2,4,4,4,4,4,"Achei que o número de livros recomendados foram poucos,e alguns estavam em categoria errada."
case 366,ea89831a-f64f-41d6-a388-0e93860366da,5,1,2,20 to 50 books in a year,34 - 37 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,5,4,4,5,4,4,4,5,5,
case 006,03657e53-d974-4914-ad4e-68faf82538ce,5,1,4,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,Excelentes recomendações 
case 009,04d6f5df-058c-40fc-bff1-9023bccf7956,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Bahia,Superior incompleto,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,5,4,2,5,5,5,5,4,4,
case 011,07c606dd-b479-45ee-a018-eca92658753c,5,1,2,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,5,5,5,5,5,3,5,5,5,5,5,3,
case 041,220ac76f-2a3f-4e7d-8423-f4f090b427f3,5,1,1,20 to 50 books in a year,18 - 21 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 044,238aef4a-56b8-47ac-ba9f-cffba5493c10,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Maranhão,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",5,5,4,5,4,5,4,5,4,4,4,4,Gostei muito
case 085,3aa123aa-4760-4fe7-8f71-0ac133cd2707,5,1,1,20 to 50 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,3,4,3,5,5,5,4,4,5,
case 099,437ebcfc-dafe-42ba-912a-bdd1a67991c5,5,1,5,20 to 50 books in a year,22 - 25 anos,Feminino,Mato Grosso do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,3,4,4,5,5,4,4,4,
case 108,47bac6d5-7839-4a6a-98a1-dae0949a713e,5,1,5,20 to 50 books in a year,18 - 21 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 133,56d0d073-6bfc-44cd-991d-4fac513abc1b,5,1,5,20 to 50 books in a year,18 - 21 anos,Feminino,Amapá,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,4,3,5,5,4,4,5,5,Gostei bastante do App
case 186,76972883-7196-4c24-a058-d3a1594da2fc,5,1,5,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,Prefiro não declarar,5,5,5,5,5,5,5,5,5,5,5,5,
case 219,8ad2106c-f782-4ffe-bad9-fbc601c8b1fe,5,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,4,5,5,4,4,5,5,
case 362,e626725b-e836-49d4-a9ff-60679d7b2434,5,1,3,20 to 50 books in a year,34 - 37 anos,Feminino,Goiás,Pós-graduação completa,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,5,4,5,4,5,5,5,5,5,
case 378,f612eedd-c8f5-46a3-b249-17f56b674df5,5,1,2,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação completa,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 383,f86ed5b8-9b94-45d4-b01f-08d001e53bc8,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,5,5,5,5,5,5,5,"Adorei o aplicativo! Fiquei surpresa com o quanto foi fácil escolher a minha lista de favoritos, simplesmente todos me agradaram demais. O meu gosto é bem diversificado, porém recomendo demais livros de fantasia, distopia, romance clichê, romance de época, mindset e os clássicos, como Machado de Assis e José de Alencar."
case 384,f94762a0-58f7-4dbc-aea7-7fe585d47903,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Mato Grosso do Sul,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,3,4,4,4,5,4,4,5,5,
case 393,fdec7a67-b1a9-4d5b-8a42-ed4fa997efff,5,1,3,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,5,5,5,5,5,5,5,5,5,5,5,5,
case 141,5b85ded1-70a3-40ce-a957-8ff2d51fc15f,5,1,5,50 to 100 books in a year,18 - 21 anos,Feminino,Bahia,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",4,4,4,3,2,3,4,3,4,4,4,5,"Mais variedades nas recomendações, já que escolhi vários gêneros "
case 240,98db50c6-4f0f-4b4d-9636-c88e7bad67bf,5,1,2,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,2,2,1,5,2,3,4,4,3,4,"Tinham poucas opções disponíveis de livros recomendados, portanto acabei escolhendo livros já lidos ou livros que eu não tenho grande interesse em ler."
case 088,3bc41e78-25dc-4fee-bb63-08506a236f92,5,1,5,50 to 100 books in a year,22 - 25 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Branca,"Até R$ 813,00",4,5,4,3,5,3,4,4,5,5,5,4,"Gostei do aplicativo, mas acho que poderia melhor o designer, tornar um pouco mais atrativo e poderia ter um pouco mais de recomendações contendo uma breve sinopse dos livros recomendados. "
case 176,6f3c202e-b7e0-4db5-8bb1-489d666a25f4,5,1,5,50 to 100 books in a year,22 - 25 anos,Feminino,Ceará,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,4,5,3,5,4,5,5,4,5,
case 265,a9b2bc7a-2308-46b5-ba80-97949541387c,5,1,2,50 to 100 books in a year,Mais de 40 anos,Feminino,Rio Grande do Norte,Pós-graduação completa,Casado(a),Parda,"De R$ 5.449,00 a R$ 10.427,00",4,5,4,4,5,3,4,4,5,5,4,5,Apresentar sugestões de livros nacionais. 
case 002,021644fc-4a5e-4671-8ffa-584beccc63a5,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,4,5,4,5,4,5,4,5,
case 008,03b8c8c5-62e1-4411-a203-01605bb628fa,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Pernambuco,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,4,5,5,5,5,5,5,
case 022,119a3b91-f5e6-41c1-b9ed-6bb511ae84f2,5,1,4,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,4,4,4,5,5,5,5,5,
case 090,3d7484ba-789e-44db-a4d7-3c3d223495e0,5,1,3,50 to 100 books in a year,26 - 29 anos,Feminino,Santa Catarina,Pós-graduação completa,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 145,5d9e2633-e4f1-4d99-aebc-46acd8a79c39,5,1,1,50 to 100 books in a year,Mais de 40 anos,Feminino,Minas Gerais,Pós-graduação completa,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,5,5,5,5,5,5,
