!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 079,95e68cae-95a4-44ea-b992-becfc5b2d30c,4,1,4,50 to 100 books in a year,18 - 21 anos,Feminino,Paraná,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,4,5,4,1,5,3,4,3,5,3,5,5,
case 080,a7324ca8-4e08-491f-b595-e1829e20e1ca,5,1,3,50 to 100 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior incompleto,Solteiro(a),Branca,Prefiro não declarar,4,4,3,3,4,4,3,3,4,4,4,4,
case 081,cdb8551c-692c-4dfa-8a8c-d20775009382,5,1,5,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Ensino médio completo,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,3,5,3,5,2,3,2,3,5,5,
case 082,db1865aa-d8f9-4a91-bd22-5c953d4cef06,4,1,1,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,3,2,2,2,1,1,3,2,3,2,3,
case 083,21412518-7bbd-4d93-a30c-ef97f7a94da8,1,1,3,20 to 50 books in a year,38 - 40 anos,Feminino,Rio Grande do Sul,Superior completo,Solteiro(a),Branca,Prefiro não declarar,5,4,5,5,5,4,4,4,5,5,5,5,
case 084,2a1cd158-3570-48dd-80c4-c0c2ced4ac03,5,1,2,20 to 50 books in a year,26 - 29 anos,Feminino,Ceará,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,3,5,5,4,4,4,5,5,5,5,
case 085,2d8e699a-e51e-4f58-a60a-291e6e8b6ed5,5,1,1,20 to 50 books in a year,34 - 37 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",1,5,5,4,5,5,4,4,5,4,5,5,
case 086,2dd5ce17-bf81-4775-bc7a-f7a68d7faadc,5,1,3,20 to 50 books in a year,Mais de 40 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,5,,,,,4,4,5,3,4,4,poderia ter duas opções de recomendação por gênero literário.
case 087,2df7244b-031d-44a6-881c-2cc7bb1e1956,4,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,4,4,2,5,4,5,5,4,4,
case 088,2e20142b-38ea-429e-814f-a27d34b2b16d,5,1,1,20 to 50 books in a year,Mais de 40 anos,Feminino,Distrito Federal,Superior completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,5,5,4,4,5,5,5,
case 089,2f9b9e88-b966-473b-ae12-5cfdfba2531d,5,1,1,1 to 5 books in a year,34 - 37 anos,Feminino,São Paulo,Pós-graduação incompleta,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,5,4,3,4,4,4,4,4,5,"Acredito que as sinopses poderiam ser melhor elaboradas. 3 dos livros que favoritei eu já li, mas os resumos no aplicativo não entregavam o quão bom era o livro."
case 090,30f3f223-d451-477b-a472-859a803a2967,5,1,2,6 to 20 books in a year,Mais de 40 anos,Feminino,Rio de Janeiro,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,5,4,4,4,4,4,5,Para quem gosta de ler o aplicativo é mais um incentivo. Gostei! 
case 091,3417972b-2a34-4fc4-8149-037ebf92c8d3,5,1,5,20 to 50 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Pós-graduação completa,Solteiro(a),Branca,"Até R$ 813,00",4,3,4,5,4,4,4,4,3,4,4,4,
case 092,3717ad91-01fd-467c-adac-a7b469f47009,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Indígena,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,2,4,4,4,4,5,
case 093,3a66c66b-f20c-467d-b73e-6bb4d8f279b1,5,1,3,1 to 5 books in a year,26 - 29 anos,Feminino,Goiás,Superior completo,União Estável,Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,5,2,5,4,4,4,4,5,5,
case 094,4e12d6e7-426e-4446-9561-80658ead7b35,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,Ceará,Superior incompleto,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,4,5,4,5,5,5,5,"Gostei muito do aplicativo, achei muito fácil de se situar. Acho que poderia tem uma diversidade maior na hora de seguir os livros"
case 095,4f673548-69e3-463a-8af7-7f80de9a90df,5,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Pará,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,4,4,5,5,2,4,3,5,5,5,
case 096,5b5d66ee-83d1-45ec-b4bd-da93cb3f0bab,5,1,5,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,5,5,5,3,4,3,3,4,4,
case 097,610f75e6-b987-4cfd-83cd-adaa8f6f2eb9,5,1,3,6 to 20 books in a year,Mais de 40 anos,Feminino,Paraná,Superior incompleto,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,4,5,4,4,4,3,3,3,
case 098,6d08abb0-04dd-47fc-a93b-a3508e6c1c22,5,1,2,50 to 100 books in a year,18 - 21 anos,Feminino,Piauí,Superior incompleto,Solteiro(a),Parda,"Até R$ 813,00",4,4,5,3,4,4,4,4,4,4,4,4,
case 099,773c2307-9c36-478d-8dfa-fd33d1c2f4d2,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,4,1,3,3,4,4,4,4,4,
case 100,8aba936a-7483-43e2-a628-78bd560276ae,5,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,Minas Gerais,Superior completo,União Estável,Parda,Prefiro não declarar,3,4,4,2,4,4,3,4,4,4,4,4,
case 101,8bf190b3-2161-411f-a0a0-b893ac5e9043,5,1,4,20 to 50 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,2,2,2,2,4,4,3,3,4,Acredito que mais algumas enquetes para ajudar a ser mais específico a seleção de indicação dos livros com base na personalidade e não somente no gênero literário de interesse 
case 102,8c79ea49-ab8e-49c4-83b2-0ad011e6c967,5,1,2,1 to 5 books in a year,34 - 37 anos,Masculino,Minas Gerais,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,4,2,5,3,5,4,4,4,4,5,"Achei interessante que as categorias de gênero não fossem inúmeras, o que as vezes fica difícil escolher entre tantas. Entretanto, também achei poucas as categorias e bem resumidas, o que torna difícil também escolher os gêneros favoritos."
case 103,915ac4c6-7b12-4662-a3a5-fba87329c177,5,1,4,6 to 20 books in a year,26 - 29 anos,Masculino,São Paulo,Superior completo,Casado(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,4,4,3,4,4,4,3,4,4,
case 104,9ca93bbb-7e9c-40f4-bc1a-aa6ea1b41498,5,1,4,20 to 50 books in a year,22 - 25 anos,Feminino,Piauí,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,4,3,2,4,4,4,4,5,4,5,"Alguns dos livros recomendados já havia lido e gostado, com base nisso imagino que os que estavam lá e não tinha ainda me aventurado na leitura, tem grandes chances de me satisfazer."
case 105,9de65bd8-c2b6-4c57-8fbb-9b4d48e92d76,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,5,3,4,5,5,3,4,4,4,3,4,
case 106,9f5a6b81-9c3e-446a-a58a-ddf0903e700d,2,1,2,50 to 100 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Pós-graduação completa,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,2,4,2,1,2,1,4,4,4,2,2,"Achei o aplicativo muito ""quadrado"", com poucas funcionalidades e um pouco confuso de usar. Eu já li a maioria dos livros que me foram indicados e, quanto aos que eu não conhecia, não havia informação suficiente para eu decidir se realmente queria ler ou não, tive que buscar informações no Google. A ideia do app é interessante, mas eu não ocuparia a memória do meu celular com um aplicativo apenas para indicações, já que isso posso conseguir facilmente no Google ou com amigos. Talvez adicionar outras funcionalidades faça valer a pena, como, por exemplo, interagir com outros leitores e pedir indicações a eles, poder adicionar os livros que já li para não haver indicações repetidas, poder adicionar as citações que mais gostei durante a leitura etc."
case 107,a87f8e32-dbe2-4936-b4dc-f3b3ecc2d8b6,5,1,5,50 to 100 books in a year,34 - 37 anos,Feminino,Rio Grande do Sul,Superior incompleto,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,5,5,4,5,5,4,5,"Fiquei abismada com o AP, o mesmo me indicou livros que eu AMO, só não foi Superlativo pq gostaria que me indicasse mais livros que não li. Mas aí sei que não tem como um AP saber de cara que vc leu... Então minha nota é 10."
case 108,aaf7e9df-b601-44ab-90a0-9c1996c2b58f,5,1,4,50 to 100 books in a year,26 - 29 anos,Feminino,Sergipe,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",5,5,5,4,4,5,5,4,5,5,4,3,
case 109,ae88ee51-5d35-4463-9cd3-a85a62905415,1,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,Maranhão,Pós-graduação completa,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,5,5,4,4,5,5,5,4,
case 110,b7ae1720-a063-411d-9a76-2442c8cc2b34,5,1,2,6 to 20 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,4,4,4,3,4,4,3,4,5,
case 111,bd4ba34f-489d-4bc8-bfd7-0a206fee3369,5,1,3,More than 100 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,5,5,2,4,3,3,4,3,5,4,4,
case 112,c8f29573-f555-4949-b68a-30fcec2e41e2,5,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,Ceará,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,3,4,4,4,4,4,4,4,4,4,
case 113,c941ca0c-762c-4e57-80d0-44dfd1b309f7,5,1,1,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,4,1,1,2,4,4,2,1,2,2,
case 114,e4d76e91-d81a-4722-8271-652233acdb79,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,3,4,5,5,4,5,5,5,3,
case 115,e66ea68e-812b-40ea-a931-3d36df2ea232,5,1,1,6 to 20 books in a year,34 - 37 anos,Feminino,Minas Gerais,Ensino médio incompleto,Separado (a),Branca,Prefiro não declarar,4,5,5,5,4,1,2,4,4,4,4,5,
case 116,f63d8232-6598-462b-bdb2-eccfa9ca283d,5,1,3,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,4,4,4,5,4,4,4,5,4,4,
case 117,005009d8-f8ae-4cd0-b8b5-aa922a7f3965,5,1,1,6 to 20 books in a year,38 - 40 anos,Feminino,Santa Catarina,Ensino médio incompleto,Separado (a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,5,5,2,5,5,5,5,5,
case 118,094b7a2c-0f2f-45e9-8470-177cd54e567e,5,1,1,6 to 20 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,Tinha todos que eu ja ouvi fla ! To empolgada para ler
case 119,0fd809e0-fb99-4493-94ff-48662da649c6,5,1,1,More than 100 books in a year,Mais de 40 anos,Feminino,Paraná,Pós-graduação completa,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,5,5,5,5,5,5,5,5,5,5,4,
case 120,1d5e5c31-15d3-4054-8282-e22fd2127195,5,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,4,4,4,5,5,5,4,5,
case 121,26100301-1fc3-4efc-9f67-8fe84686c16f,6,1,3,20 to 50 books in a year,26 - 29 anos,Feminino,Amapá,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,1,5,5,5,5,5,5,
case 122,26efd396-26f7-4c07-b319-e5ff93ee8ab1,5,1,5,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,4,5,5,5,5,4,5,
case 123,301e1415-f498-4fef-9d48-38c20f69978b,5,1,2,More than 100 books in a year,22 - 25 anos,Feminino,Minas Gerais,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,3,5,5,5,5,5,5,
case 124,371da781-4248-4b0b-9ce3-f61ce907a3f7,5,1,2,6 to 20 books in a year,Mais de 40 anos,Feminino,Santa Catarina,Pós-graduação completa,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,5,5,5,5,4,5,5,5,4,5,5,
case 125,3a2691d9-6582-4a0b-813e-f6f3f1d2e151,5,1,5,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,5,4,3,5,5,5,3,3,5,
case 126,40174b47-ba72-42fb-aa6a-511fe5678997,5,1,4,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,5,4,3,3,5,4,2,4,5,
case 127,4184d071-8b21-4a76-ae66-ed108f935703,5,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior incompleto,Casado(a),Prefiro não declarar,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,3,4,4,5,5,5,4,4,
case 128,4cff1003-2a2c-4db3-b57d-9c58b5676a4f,5,1,5,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,5,3,2,5,5,5,4,5,
case 129,4e0048a6-4dbd-42bd-9206-399f0ecd077f,5,1,3,1 to 5 books in a year,18 - 21 anos,Masculino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,2,5,5,5,5,4,5,
case 130,5ba5e5a0-629f-42be-8c30-165b3669b4a9,5,1,2,6 to 20 books in a year,18 - 21 anos,Masculino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,4,5,4,5,5,5,5,4,5,
case 131,5c4b6f5a-88d9-4a9f-8c45-f999c2051e81,4,1,3,1 to 5 books in a year,18 - 21 anos,Feminino,Mato Grosso,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,4,5,5,4,3,3,4,5,5,4,3,4,
case 132,6405e3b7-fd0e-482f-8d00-9f995481cced,5,1,5,6 to 20 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",3,5,4,5,4,4,5,5,4,4,5,5,
case 133,650a31af-77a1-470a-a087-45e15fc967bc,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,4,5,5,5,4,5,5,5,3,5,5,O aplicativo é bem leve e de fácil acesso. As recomendações de livros foram muito boas. 
case 134,652605e5-0115-479b-b810-fb18ff245eef,3,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,2,2,3,5,5,5,4,3,4,
case 135,7290587c-9dcc-4770-a534-7e0e7f7975de,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,Pará,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,4,3,4,5,5,5,4,5,
case 136,7856cbfb-f151-413e-9814-56899701b077,5,1,3,6 to 20 books in a year,34 - 37 anos,Feminino,Rondônia,Superior incompleto,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,5,5,5,5,5,5,
case 137,7f109aa0-e089-4341-b150-4c742ffe12cd,5,1,4,6 to 20 books in a year,18 - 21 anos,Feminino,Espírito Santo,Ensino médio incompleto,Solteiro(a),Preta,"Até R$ 813,00",5,5,5,5,5,5,4,5,5,5,4,5,Ajuda nas próximas leituras. 
case 138,82528e30-59fb-4f45-a9eb-a115d2694e9c,5,1,3,1 to 5 books in a year,Mais de 40 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,3,5,5,5,5,5,5,
case 139,83fca4b9-0dc7-4c35-860b-dac8ecbdb4b6,5,1,2,6 to 20 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Pós-graduação completa,Casado(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,5,4,3,5,5,1,5,5,4,4,4,"Coloquei as opções de ""romance"" e ""juvenil"", apareceram tanto opções só de romance como opções só de juvenil e eu estava esperando que aparecessem só as opções que se enquadrasse nos dois gêneros literários ao mesmo tempo. E acredito que os preços dos livros estejam bem caros... Fora isso, o aplicativo é muito bom. Parabéns aos envolvidos."
case 140,862dceb0-9a5d-468a-8f26-b38d6e7e405b,5,1,4,20 to 50 books in a year,22 - 25 anos,Feminino,Pernambuco,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,2,5,5,4,4,5,5,
case 141,89717388-a9a2-41f7-b026-cb6b20d3659d,3,1,1,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,5,5,5,4,5,4,4,5,4,
case 142,9970cfe5-947b-4f85-97e4-2b6c39206a0f,5,1,5,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio incompleto,Solteiro(a),Parda,"Até R$ 813,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 143,9a5020de-984e-42ca-8dad-f1c0426e4021,5,1,2,More than 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,4,5,3,5,2,5,5,5,5,5,
case 144,9d79d72d-04eb-432c-86a8-cb71c6eafc6a,1,1,3,1 to 5 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"Até R$ 813,00",5,4,5,4,5,3,5,5,5,2,4,4,
case 145,9e957e97-bfac-49ba-a146-78a8161470a0,5,1,1,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,4,2,3,5,5,5,3,4,5,
case 146,a0aa39a7-a8e1-4580-b7d6-d8b08a0c7a58,5,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,4,5,5,
case 147,a1dbcc84-6c99-4050-bedb-3fe1c51b514b,3,1,4,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior incompleto,União Estável,Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,5,4,5,5,5,5,5,
case 148,ab8086e1-a178-49c1-95f1-9384bbf681ac,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,3,3,4,4,5,2,3,4,4,
case 149,af32127c-513f-4679-a820-9a711a2337a2,5,1,3,More than 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"Até R$ 813,00",4,4,5,5,4,4,5,5,4,4,4,5,
case 150,b14f1a58-8c25-405d-9152-9f794086b987,5,1,2,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,4,5,5,5,5,5,5,5,5,
case 151,c6b0e966-2ae0-423f-b352-112f437cacab,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,5,4,5,5,5,5,5,5,
case 152,caa84e81-d39b-40cf-a264-47188805cf4f,1,1,1,20 to 50 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,3,5,5,5,5,5,5,
case 153,d02ed223-4ad0-485b-8028-e7b26339a54a,5,1,3,50 to 100 books in a year,Mais de 40 anos,Feminino,Mato Grosso,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,5,5,5,5,4,5,5,5,5,5,5,
case 154,d347d2ab-3f40-42b4-a5b3-108ac7abd30b,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,4,3,5,5,5,5,5,5,
case 155,d5e71125-0255-4366-8a72-4bf771220d8a,4,1,5,6 to 20 books in a year,22 - 25 anos,Masculino,Rio Grande do Sul,Ensino fundamental completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,Recomendações muito boas mesmo.
case 156,d615aa8b-e887-4836-99b0-53d38121b766,2,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,5,4,4,4,5,5,5,4,5,5,5,
case 157,d7c4975f-9f5e-40c9-83c1-7f88debc4625,4,1,5,50 to 100 books in a year,Mais de 40 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Branca,"Até R$ 813,00",2,5,5,5,5,5,3,5,4,3,5,5,
case 158,d8f6e6df-8226-4809-9196-55f95f004d80,5,1,3,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",4,5,5,4,5,4,5,5,5,5,4,3,"Seria interessante colocar uma parte com possíveis recomendações embaixo do livro e da sinopse, que sejam parecidos com ele "
case 159,dc48b0c3-9a18-435a-88bb-375cbfbebdec,5,1,2,6 to 20 books in a year,22 - 25 anos,Feminino,Goiás,Superior completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,5,5,5,4,5,5,
case 160,e90e2c2c-74d5-4be1-af57-c09e5396468d,5,1,4,6 to 20 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,4,5,4,5,5,5,5,5,5,
case 161,f0d0a83c-7dcd-44f0-b26c-296a24644f3e,5,1,2,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,5,4,5,5,5,4,4,5,
case 162,f1de84bc-4d44-4ad2-845a-03840a58877e,5,1,1,50 to 100 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,4,5,5,5,5,5,4,4,
case 163,f3aa66cb-a737-4256-a832-d2cedabe6b30,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior incompleto,Solteiro(a),Parda,"Até R$ 813,00",5,4,5,4,4,4,5,5,4,4,5,5,
case 164,f6a3cdd1-5712-4419-8312-9e2d4e6922e6,6,1,3,6 to 20 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,5,5,5,5,5,4,5,5,5,5,5,5,Muito animada.😄
case 165,f959333a-9534-4940-a523-a8f6b408643e,5,1,2,20 to 50 books in a year,38 - 40 anos,Feminino,São Paulo,Superior incompleto,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,5,5,5,5,5,5,Gostei!
case 166,fef3f8e9-1b6b-4154-b7da-217d04f1b0ab,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,3,5,5,5,5,5,5,Gostei muito do aplicativo e gostaria que pudesse organizar minhas futuras compras ou leituras!
case 167,1dc787ba-df85-4a5b-aeaa-3b2bd0b3ce93,5,2,1,1 to 5 books in a year,Mais de 40 anos,Feminino,Rio Grande do Norte,Ensino médio completo,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",2,2,2,2,1,2,2,1,2,1,1,2,
case 168,09f089cc-4872-4a43-a3f5-eee0847d3a38,6,2,5,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",2,5,3,2,2,2,1,2,1,2,2,1,
case 169,0c700653-e9ff-4483-aaa1-e8a03617c6b5,5,2,2,20 to 50 books in a year,22 - 25 anos,Feminino,Espírito Santo,Superior incompleto,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",3,2,2,2,3,3,3,2,3,3,3,3,
case 170,1e4d44bf-4655-4af2-8ef5-eb8d80e4628e,5,2,3,20 to 50 books in a year,Mais de 40 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,4,4,3,5,4,1,2,2,3,3,3,
case 171,1fcfa277-0ead-4579-8527-fe9f56e42236,5,2,3,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Parda,"De R$ 1.805,00 a R$ 3.042,00",2,2,2,1,2,2,1,2,2,2,2,2,
