!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 021,425727ef-cdde-4ef1-8f1a-2474fa427f9e,5,0,1,20 to 50 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,5,4,2,4,4,4,4,5,
case 022,6efdbe33-1fe2-4493-ac3f-231399efe442,5,0,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,3,4,5,5,4,4,5,5,5,5,
case 023,74d9e1fe-5018-4bc7-bbbc-4373358e1ae3,5,0,3,20 to 50 books in a year,18 - 21 anos,Feminino,Rio Grande do Sul,Superior incompleto,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,3,5,5,5,4,5,5,5,5,"Gostei bastante do app, parabéns."
case 024,9351726a-e0eb-46ca-8c7a-1287d0aa67a4,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Distrito Federal,Superior completo,Solteiro(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",3,4,4,5,5,5,4,4,3,3,4,4,
case 025,b04a2432-cb92-4f66-868d-233f6b24eeb1,5,0,3,50 to 100 books in a year,26 - 29 anos,Feminino,Bahia,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,3,4,3,3,4,4,4,4,3,4,4,
case 026,b435e667-c87a-4305-9e0b-c3486d8d6795,2,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,Bahia,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,5,4,4,5,5,5,5,
case 027,d3b78b0f-d899-43d1-9879-cb2e43337a4c,4,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Amazonas,Superior incompleto,Solteiro(a),Branca,"Até R$ 813,00",4,4,5,5,4,5,5,4,4,4,5,5,
case 028,d7ebb172-2e21-4797-920d-4fa955a0a7ef,3,0,3,1 to 5 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,,3,5,5,5,3,3,5,4,5,4,3,4,
case 029,f187dde5-0a54-4ecf-a07c-aa4a4c290f50,5,0,1,6 to 20 books in a year,18 - 21 anos,Masculino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"Até R$ 813,00",4,5,4,4,4,5,4,4,4,4,4,4,
case 030,042fdefd-e65a-445e-a7d3-cc323a96d744,3,0,3,1 to 5 books in a year,38 - 40 anos,Masculino,Santa Catarina,Pós-graduação completa,Casado(a),Parda,Prefiro não declarar,5,5,5,5,5,4,5,5,5,4,4,5,
case 031,24d6f116-de22-4ab0-80e3-f1cd3039bfc1,5,0,3,6 to 20 books in a year,34 - 37 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,4,5,4,3,5,5,5,3,5,5,
